epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
1,50,28,0,22,0.560000,0.320000,10.320000,1516.439791,2
2,50,26,0,24,0.520000,0.020000,9.780000,1554.083411,2
3,50,21,0,29,0.420000,-0.280000,9.680000,1418.925343,2
4,50,24,0,26,0.480000,0.020000,10.200000,1539.211297,2
5,50,25,0,25,0.500000,0.180000,9.260000,1465.417266,2
6,50,24,0,26,0.480000,0.000000,10.480000,1483.530571,3
7,50,22,0,28,0.440000,-0.060000,9.680000,1442.771505,3
8,50,28,0,22,0.560000,0.300000,10.440000,1492.088278,3
9,50,30,0,20,0.600000,0.400000,10.680000,1566.837307,3
10,50,26,0,24,0.520000,0.180000,8.980000,1490.169945,3
11,50,20,0,30,0.400000,-0.280000,10.720000,1445.295454,4
12,50,33,0,17,0.660000,0.580000,9.720000,1620.247274,4
13,50,33,0,17,0.660000,0.440000,10.240000,1559.679852,4
14,50,29,0,21,0.580000,0.040000,10.200000,1493.492971,4
15,50,23,1,26,0.460000,-0.060000,10.180000,1537.150767,4
16,50,23,0,27,0.460000,-0.240000,9.780000,1451.315302,5
17,50,25,0,25,0.500000,0.040000,9.740000,1450.496880,5
18,50,29,0,21,0.580000,0.380000,10.780000,1539.345808,5
19,50,24,0,26,0.480000,0.020000,9.940000,1511.978323,5
20,50,25,0,25,0.500000,-0.020000,10.280000,1520.970364,5
21,50,34,0,16,0.680000,0.600000,10.760000,1617.048901,6
22,50,26,0,24,0.520000,0.300000,9.900000,1530.833867,6
23,50,28,0,22,0.560000,0.220000,11.160000,1597.794028,6
24,50,32,0,18,0.640000,0.640000,10.880000,1610.797635,6
25,50,29,0,21,0.580000,0.340000,11.060000,1581.940494,6
26,50,27,0,23,0.540000,0.260000,12.520000,1546.771749,7
27,50,30,0,20,0.600000,0.460000,12.300000,1538.755206,7
28,50,39,0,11,0.780000,0.920000,12.820000,1749.880148,7
29,50,32,0,18,0.640000,0.500000,13.980000,1639.675538,7
30,50,37,0,13,0.740000,1.000000,12.600000,1707.753103,7
31,50,36,0,14,0.720000,1.060000,14.740000,1760.683335,8
32,50,37,1,12,0.740000,1.120000,13.820000,1753.214272,8
33,50,35,0,15,0.700000,0.820000,13.040000,1743.962329,8
34,50,34,0,16,0.680000,0.860000,14.080000,1749.384364,8
35,50,36,0,14,0.720000,1.040000,16.480000,1804.594614,8
36,50,32,0,18,0.640000,0.560000,15.540000,1813.240574,9
37,50,35,0,15,0.700000,0.980000,17.600000,1787.636719,9
38,50,42,1,7,0.840000,1.580000,16.620000,1921.179767,9
39,50,41,0,9,0.820000,1.520000,18.240000,1916.384411,9
40,50,35,0,15,0.700000,0.940000,18.560000,1851.932914,9
41,50,36,0,14,0.720000,0.940000,22.580000,1955.920346,10
42,50,39,0,11,0.780000,1.200000,21.200000,1988.901174,10
43,50,39,0,11,0.780000,1.180000,24.760000,2011.017132,10
44,50,28,0,22,0.560000,0.400000,22.480000,1823.612597,10
45,50,36,0,14,0.720000,1.220000,22.520000,1929.620301,10
46,50,34,0,16,0.680000,0.760000,24.660000,1934.492587,11
47,50,35,0,15,0.700000,0.840000,25.580000,1937.848277,11
48,50,33,0,17,0.660000,0.720000,25.240000,1944.194879,11
49,50,31,0,19,0.620000,0.740000,24.220000,1850.797028,11
50,50,34,0,16,0.680000,1.060000,24.240000,1912.630313,11
51,50,37,0,13,0.740000,0.900000,27.200000,2048.807633,12
52,50,33,0,17,0.660000,0.760000,27.520000,1915.419800,12
53,50,34,0,16,0.680000,0.760000,28.460000,1971.041345,12
54,50,30,0,20,0.600000,0.460000,31.400000,1958.756435,12
55,50,32,1,17,0.640000,0.600000,28.580000,2003.928477,12
56,50,35,0,15,0.700000,0.760000,31.460000,2018.894284,13
57,50,31,0,19,0.620000,0.560000,33.080000,1990.381248,13
58,50,37,0,13,0.740000,0.820000,30.200000,2063.692519,13
59,50,31,0,19,0.620000,0.660000,33.440000,1992.058563,13
60,50,38,0,12,0.760000,1.220000,27.060000,2059.580519,13
61,50,32,0,18,0.640000,0.640000,35.300000,2018.294927,14
62,50,38,0,12,0.760000,1.120000,35.360000,2078.430576,14
63,50,30,0,20,0.600000,0.480000,34.040000,2017.302682,14
64,50,33,0,17,0.660000,0.820000,30.060000,2014.654319,14
65,50,34,0,16,0.680000,0.820000,32.220000,2017.922793,14
66,50,29,0,21,0.580000,0.540000,33.060000,1973.639949,15
67,50,34,0,16,0.680000,0.900000,38.300000,2051.790319,15
68,50,31,0,19,0.620000,0.400000,35.080000,2017.452532,15
69,50,31,0,19,0.620000,0.560000,39.780000,2075.979722,15
70,50,35,0,15,0.700000,0.780000,39.040000,2081.250479,15
71,50,28,0,22,0.560000,0.360000,38.300000,1996.669522,16
72,50,39,0,11,0.780000,1.000000,35.600000,2150.405807,16
73,50,30,0,20,0.600000,0.580000,38.540000,2019.331785,16
74,50,33,0,17,0.660000,0.640000,39.240000,2096.959723,16
75,50,35,0,15,0.700000,0.940000,39.880000,2174.322682,16
76,50,31,0,19,0.620000,0.800000,38.700000,2114.407282,17
77,50,30,0,20,0.600000,0.320000,41.800000,2035.098894,17
78,50,31,0,19,0.620000,0.560000,43.340000,2049.828534,17
79,50,32,0,18,0.640000,0.700000,44.860000,2069.592887,17
80,50,36,0,14,0.720000,1.020000,38.580000,2187.734099,17
81,50,27,0,23,0.540000,0.340000,38.860000,2098.298629,18
82,50,33,0,17,0.660000,0.860000,44.920000,2191.858198,18
83,50,33,0,17,0.660000,0.740000,44.200000,2174.873826,18
84,50,31,0,19,0.620000,0.560000,45.940000,2137.683080,18
85,50,30,0,20,0.600000,0.640000,38.900000,2115.528094,18
86,50,28,0,22,0.560000,0.380000,44.180000,2068.779240,19
87,50,27,0,23,0.540000,0.180000,50.120000,2081.389483,19
88,50,28,0,22,0.560000,0.660000,46.760000,2115.790126,19
89,50,33,0,17,0.660000,0.840000,45.680000,2195.111500,19
90,50,32,0,18,0.640000,0.780000,44.940000,2163.150501,19
91,50,35,0,15,0.700000,0.940000,49.600000,2261.802860,20
92,50,33,0,17,0.660000,0.820000,44.100000,2184.472918,20
93,50,34,0,16,0.680000,0.780000,44.860000,2236.644444,20
94,50,31,0,19,0.620000,0.720000,43.460000,2171.334662,20
95,50,35,0,15,0.700000,0.760000,46.840000,2197.685990,20
96,50,35,0,15,0.700000,0.900000,52.780000,2286.079821,21
97,50,35,0,15,0.700000,0.840000,47.200000,2224.158002,21
98,50,33,0,17,0.660000,0.600000,56.300000,2254.316009,21
99,50,40,0,10,0.800000,1.100000,48.400000,2337.487495,21
100,50,37,0,13,0.740000,1.060000,46.880000,2318.696700,21
101,50,31,0,19,0.620000,0.440000,55.160000,2167.076791,22
102,50,34,0,16,0.680000,0.820000,48.940000,2191.175740,22
103,50,33,0,17,0.660000,0.740000,51.020000,2249.205088,22
104,50,34,0,16,0.680000,0.680000,53.080000,2233.405775,22
105,50,31,0,19,0.620000,0.580000,53.780000,2194.956016,22
106,50,33,0,17,0.660000,0.700000,51.180000,2254.951734,23
107,50,30,0,20,0.600000,0.340000,51.280000,2177.654949,23
108,50,34,0,16,0.680000,0.860000,55.040000,2261.186166,23
109,50,28,0,22,0.560000,0.220000,49.040000,2152.876137,23
110,50,32,0,18,0.640000,0.700000,50.860000,2218.871775,23
111,50,32,0,18,0.640000,0.580000,58.300000,2225.734535,24
112,50,30,0,20,0.600000,0.520000,53.600000,2188.321188,24
113,50,30,0,20,0.600000,0.640000,54.600000,2210.263847,24
114,50,34,0,16,0.680000,0.680000,57.060000,2262.390654,24
115,50,30,0,20,0.600000,0.500000,54.460000,2198.593451,24
116,50,30,0,20,0.600000,0.560000,57.720000,2282.657240,25
117,50,37,0,13,0.740000,1.200000,55.520000,2340.237230,25
118,50,36,0,14,0.720000,0.980000,58.880000,2320.961892,25
119,50,33,0,17,0.660000,0.840000,53.160000,2308.441113,25
120,50,33,0,17,0.660000,0.960000,52.280000,2283.190191,25
