epoch,num_samples,policy_loss,value_loss,entropy_mean,entropy_std,approx_kl,clip_frac,top1_prob_mean,top5_prob_mean,top20_prob_mean,top50_prob_mean,grad_norm_mean,lr,power0_ratio,power1_ratio,power2_ratio,stone0_ratio,stone1_ratio,stone2_ratio
1,235,-0.026187,1.323953,4.968715,0.000126,0.000310,0.000000,0.007834,0.038467,0.149564,0.364753,0.781698,0.00010000,0.361702,0.344681,0.293617,0.319149,0.340426,0.340426
2,220,-0.008031,1.567026,4.967876,0.000249,0.000106,0.000000,0.008413,0.040447,0.153015,0.370463,1.878983,0.00010000,0.413636,0.290909,0.295455,0.340909,0.350000,0.309091
3,232,-0.018194,1.392059,4.967211,0.000240,0.000130,0.000000,0.008627,0.041144,0.155433,0.373671,1.067129,0.00010000,0.280172,0.344828,0.375000,0.318966,0.288793,0.392241
4,250,-0.008389,1.274055,4.965905,0.000580,0.000278,0.000000,0.008750,0.042228,0.159180,0.379657,0.681686,0.00010000,0.348000,0.292000,0.360000,0.332000,0.364000,0.304000
5,224,-0.008714,1.388242,4.962762,0.001052,0.000388,0.000000,0.009636,0.045018,0.165781,0.391840,1.060643,0.00010000,0.334821,0.348214,0.316964,0.294643,0.357143,0.348214
6,278,0.000474,1.272582,4.958120,0.001500,0.000631,0.000000,0.010711,0.049209,0.174028,0.405352,0.880453,0.00010000,0.424460,0.287770,0.287770,0.341727,0.305755,0.352518
7,233,-0.008469,1.304524,4.953190,0.001178,0.000430,0.000000,0.011799,0.054025,0.183082,0.416105,0.902998,0.00010000,0.304721,0.360515,0.334764,0.261803,0.360515,0.377682
8,253,-0.013672,1.326127,4.948729,0.002089,0.000669,0.000000,0.012779,0.057472,0.190122,0.424077,0.837159,0.00010000,0.332016,0.347826,0.320158,0.320158,0.320158,0.359684
9,251,-0.006418,1.265405,4.936693,0.004150,0.000953,0.000000,0.014709,0.063905,0.205899,0.443612,0.992741,0.00010000,0.370518,0.274900,0.354582,0.362550,0.318725,0.318725
10,248,-0.008807,1.334403,4.920412,0.003794,0.000737,0.000000,0.017603,0.072998,0.222944,0.467182,1.376699,0.00010000,0.443548,0.326613,0.229839,0.342742,0.366935,0.290323
11,256,-0.015994,1.223263,4.905008,0.007214,0.001348,0.006510,0.021170,0.081696,0.235626,0.483947,1.019342,0.00010000,0.406250,0.320312,0.273438,0.343750,0.312500,0.343750
12,233,-0.023245,1.342610,4.872724,0.012209,0.001894,0.010004,0.026924,0.094797,0.261054,0.514444,1.139588,0.00010000,0.377682,0.339056,0.283262,0.369099,0.356223,0.274678
13,256,-0.012900,1.306755,4.831712,0.007826,0.001412,0.003906,0.032608,0.109975,0.290985,0.549059,1.166843,0.00010000,0.445312,0.281250,0.273438,0.378906,0.332031,0.289062
14,282,-0.003525,1.278372,4.821120,0.006279,0.001736,0.008253,0.034699,0.110170,0.298545,0.555733,1.317550,0.00010000,0.453901,0.315603,0.230496,0.322695,0.354610,0.322695
15,272,-0.061391,1.299509,4.799102,0.008564,0.001862,0.010417,0.038748,0.115917,0.313149,0.567904,1.722469,0.00010000,0.492647,0.272059,0.235294,0.341912,0.334559,0.323529
16,269,0.012310,1.308347,4.763441,0.013061,0.002243,0.009295,0.038478,0.127156,0.333968,0.593546,1.923726,0.00010000,0.460967,0.327138,0.211896,0.293680,0.401487,0.304833
