epoch,episodes,avg_step_penalty,avg_alive_trade,avg_shaping,avg_game_reward,total_avg_reward,avg_phi_abs
1,50,-0.008840,-0.125000,-0.003821,-0.120000,-0.257661,0.037795
2,50,-0.008420,0.030000,-0.000942,0.280000,0.300638,0.038238
3,50,-0.008700,-0.160000,0.000150,-0.160000,-0.328550,0.037282
4,50,-0.009420,-0.135000,0.000967,-0.160000,-0.303453,0.041856
5,50,-0.008580,0.020000,0.003384,0.240000,0.254804,0.036660
6,50,-0.010540,-0.075000,0.000593,-0.160000,-0.244947,0.043483
7,50,-0.008900,0.025000,-0.002969,0.160000,0.173131,0.034898
8,50,-0.009660,-0.010000,0.002693,0.080000,0.063033,0.035132
9,50,-0.009500,-0.080000,-0.001603,-0.060000,-0.151103,0.037681
10,50,-0.009600,0.090000,-0.003835,0.360000,0.436565,0.038602
11,50,-0.009760,-0.040000,0.000223,0.040000,-0.009537,0.041343
12,50,-0.008800,-0.035000,0.002036,-0.040000,-0.081764,0.037929
13,50,-0.009820,0.000000,-0.002273,0.120000,0.107907,0.038004
14,50,-0.010800,-0.010000,0.001260,0.040000,0.020460,0.038524
15,50,-0.010540,0.050000,0.004717,0.280000,0.324177,0.047526
16,50,-0.010280,-0.070000,0.002614,0.040000,-0.037666,0.040688
17,50,-0.011660,0.270000,-0.001938,0.720000,0.976402,0.043723
18,50,-0.011640,0.070000,-0.000599,0.240000,0.297761,0.040644
19,50,-0.012020,0.115000,-0.001088,0.320000,0.421892,0.044859
20,50,-0.011700,0.195000,0.001402,0.560000,0.744702,0.044298
21,50,-0.014020,0.125000,-0.002730,0.240000,0.348250,0.046609
22,50,-0.013200,0.155000,-0.000906,0.360000,0.500894,0.041396
23,50,-0.013220,0.145000,-0.001175,0.400000,0.530605,0.047395
24,50,-0.012460,0.050000,0.001789,0.040000,0.079329,0.045250
25,50,-0.015400,0.195000,0.000765,0.440000,0.620365,0.040434
26,50,-0.014980,0.125000,-0.004746,0.240000,0.345274,0.046972
27,50,-0.016700,0.165000,0.002528,0.320000,0.470828,0.047726
28,50,-0.017880,0.180000,-0.000096,0.440000,0.602024,0.043579
29,50,-0.016380,0.195000,-0.000309,0.400000,0.578311,0.047178
30,50,-0.017040,0.305000,-0.000610,0.520000,0.807350,0.045684
31,50,-0.022200,0.120000,0.004266,0.280000,0.382066,0.049658
32,50,-0.019060,0.135000,0.002125,0.320000,0.438065,0.045146
33,50,-0.020360,0.200000,-0.003634,0.360000,0.536006,0.042637
34,50,-0.020300,0.170000,-0.000596,0.240000,0.389104,0.047496
35,50,-0.021860,0.160000,-0.002438,0.320000,0.455702,0.047471
36,50,-0.020400,0.320000,-0.001396,0.600000,0.898204,0.050204
37,50,-0.022560,0.260000,0.002232,0.360000,0.599672,0.044827
38,50,-0.023620,0.175000,-0.000463,0.320000,0.470917,0.046128
39,50,-0.021300,0.180000,-0.002604,0.320000,0.476096,0.046350
40,50,-0.022340,0.070000,-0.002119,0.080000,0.125541,0.045513
41,50,-0.021900,0.085000,-0.003849,0.080000,0.139251,0.049985
42,50,-0.026100,0.220000,-0.007314,0.360000,0.546586,0.046403
43,50,-0.024840,0.255000,0.000273,0.440000,0.670433,0.045913
44,50,-0.026380,0.210000,0.004194,0.480000,0.667814,0.047172
45,50,-0.023620,0.225000,-0.002428,0.320000,0.518952,0.047415
46,50,-0.026840,0.150000,0.000046,0.200000,0.323206,0.048655
47,50,-0.026780,0.135000,-0.000218,0.320000,0.428002,0.049604
48,50,-0.027520,0.170000,-0.000998,0.280000,0.421482,0.049782
49,50,-0.028580,0.100000,-0.002970,0.240000,0.308450,0.045152
50,50,-0.028240,0.165000,0.005760,0.280000,0.422520,0.050003
51,50,-0.027900,0.045000,-0.000916,0.080000,0.096184,0.050508
52,50,-0.029660,0.185000,0.000866,0.320000,0.476206,0.044753
53,50,-0.029880,0.235000,-0.007191,0.440000,0.637929,0.045221
54,50,-0.026780,0.300000,0.004071,0.560000,0.837291,0.045599
55,50,-0.028840,0.150000,-0.000686,0.280000,0.400474,0.047120
56,50,-0.035360,0.110000,-0.004209,0.200000,0.270431,0.049061
57,50,-0.031620,0.205000,-0.001535,0.480000,0.651845,0.045549
58,50,-0.031100,0.160000,-0.001652,0.240000,0.367248,0.043884
59,50,-0.030100,0.160000,0.000863,0.320000,0.450763,0.045180
60,50,-0.037300,0.075000,-0.005838,0.160000,0.191862,0.051189
61,50,-0.034460,0.130000,0.000649,0.240000,0.336189,0.045955
62,50,-0.035280,0.165000,-0.001557,0.200000,0.328163,0.046699
63,50,-0.036040,0.170000,-0.001586,0.320000,0.452374,0.049502
64,50,-0.031920,0.130000,0.001216,0.160000,0.259296,0.050915
65,50,-0.040180,0.150000,-0.001151,0.320000,0.428669,0.049157
66,50,-0.036080,0.155000,-0.003854,0.280000,0.395066,0.047767
67,50,-0.038980,0.225000,-0.001765,0.360000,0.544255,0.048514
68,50,-0.039960,0.155000,-0.002434,0.280000,0.392606,0.045250
69,50,-0.039280,0.180000,-0.000265,0.360000,0.500455,0.044217
70,50,-0.044600,0.215000,-0.003146,0.360000,0.527254,0.046274
71,50,-0.036880,0.155000,-0.002648,0.360000,0.475472,0.043109
72,50,-0.041520,0.190000,-0.004457,0.320000,0.464023,0.044441
73,50,-0.049880,0.145000,-0.000337,0.360000,0.454783,0.047557
74,50,-0.042040,0.230000,-0.005578,0.440000,0.622382,0.049391
75,50,-0.044020,0.195000,-0.002559,0.320000,0.468421,0.043988
76,50,-0.041340,0.210000,-0.006931,0.240000,0.401729,0.046462
77,50,-0.039260,0.210000,-0.000199,0.240000,0.410541,0.043891
78,50,-0.043100,0.260000,-0.000701,0.400000,0.616199,0.043820
79,50,-0.040820,0.160000,0.000412,0.320000,0.439592,0.042349
80,50,-0.044420,0.270000,-0.004111,0.480000,0.701469,0.041505
81,50,-0.049580,0.150000,-0.001334,0.240000,0.339086,0.046527
82,50,-0.040960,0.205000,-0.000153,0.440000,0.603887,0.044774
83,50,-0.051740,0.245000,-0.004132,0.400000,0.589128,0.045828
84,50,-0.051740,0.155000,-0.003475,0.280000,0.379785,0.046157
85,50,-0.044320,0.125000,-0.002719,0.200000,0.277961,0.048713
86,50,-0.044900,0.060000,-0.001446,0.160000,0.173654,0.046707
87,50,-0.040640,0.265000,-0.002384,0.440000,0.661976,0.045970
88,50,-0.047580,0.055000,-0.001015,0.160000,0.166405,0.047434
89,50,-0.050480,0.190000,-0.001844,0.360000,0.497676,0.043179
90,50,-0.054920,0.240000,-0.005555,0.440000,0.619525,0.048698
91,50,-0.055080,0.185000,-0.003935,0.280000,0.405985,0.046495
92,50,-0.049400,0.260000,-0.002609,0.480000,0.687991,0.042213
93,50,-0.056800,0.225000,0.000613,0.520000,0.688813,0.043891
94,50,-0.055380,0.215000,-0.005345,0.400000,0.554275,0.041701
95,50,-0.052120,0.155000,-0.003298,0.200000,0.299582,0.045903
96,50,-0.056760,0.125000,-0.002434,0.280000,0.345806,0.045511
97,50,-0.056640,0.210000,-0.000163,0.440000,0.593197,0.044732
98,50,-0.060440,0.210000,-0.002484,0.440000,0.587076,0.049193
99,50,-0.055180,0.155000,-0.001715,0.320000,0.418105,0.045472
100,50,-0.058000,0.215000,-0.002044,0.440000,0.594956,0.045362
101,50,-0.061200,0.180000,-0.004533,0.360000,0.474267,0.046498
102,50,-0.060280,0.120000,-0.000665,0.200000,0.259055,0.042916
103,50,-0.062520,0.135000,-0.004597,0.360000,0.427883,0.043764
104,50,-0.057380,0.190000,-0.000606,0.240000,0.372014,0.044992
105,50,-0.058180,0.195000,0.000056,0.400000,0.536876,0.045989
106,50,-0.063300,0.150000,0.001467,0.240000,0.328167,0.044588
107,50,-0.062080,0.145000,-0.003086,0.320000,0.399834,0.045608
108,50,-0.057260,0.280000,-0.001781,0.440000,0.660959,0.046463
109,50,-0.062180,0.250000,-0.000682,0.480000,0.667138,0.046625
110,50,-0.060300,0.270000,0.000530,0.560000,0.770230,0.041332
111,50,-0.060820,0.090000,0.000297,0.080000,0.109477,0.046773
112,50,-0.064640,0.310000,-0.002399,0.600000,0.842961,0.043451
113,50,-0.070360,0.125000,-0.001171,0.280000,0.333469,0.042533
114,50,-0.060660,0.145000,0.000981,0.280000,0.365321,0.048480
115,50,-0.073140,0.230000,-0.001359,0.480000,0.635501,0.045729
116,50,-0.067260,0.175000,0.000056,0.240000,0.347796,0.043067
