epoch,episodes,wins,draws,losses,win_rate,avg_alive_diff,avg_steps,steps_p50,steps_p90,steps_max,learner_rating,num_players,early_my_alive_avg,early_opp_alive_avg,early_alive_drop_ratio,early_avg_power
1,50,22,0,28,0.440000,-0.220000,9.360000,9.000000,13.099998,15.000000,1518.911252,2,2.600000,2.263333,0.160000,1376.666667
2,50,32,0,18,0.640000,0.360000,8.940000,8.000000,13.000000,15.000000,1543.594761,2,2.606667,2.360000,0.180000,1376.666667
3,50,21,0,29,0.420000,-0.460000,9.200000,9.000000,12.000000,17.000000,1494.585880,2,2.540000,2.393333,0.220000,1560.000000
4,50,21,0,29,0.420000,-0.320000,9.820000,9.500000,13.199997,18.000000,1512.226137,2,2.573333,2.383333,0.140000,1523.333333
5,50,31,0,19,0.620000,0.400000,9.100000,8.000000,13.099998,19.000000,1578.727432,2,2.586667,2.223333,0.080000,1410.000000
6,50,21,0,29,0.420000,-0.180000,11.000000,10.000000,16.199997,21.000000,1441.154806,3,2.653333,2.560000,0.060000,1313.333333
7,50,29,0,21,0.580000,0.380000,9.460000,8.500000,15.099998,21.000000,1554.423951,3,2.610000,2.280000,0.120000,1573.333333
8,50,27,0,23,0.540000,0.160000,10.080000,9.000000,15.000000,22.000000,1556.296044,3,2.600000,2.333333,0.140000,1580.000000
9,50,23,1,26,0.460000,-0.100000,9.940000,9.000000,15.000000,26.000000,1544.260907,3,2.553333,2.376667,0.280000,1503.333333
10,50,34,0,16,0.680000,0.580000,10.100000,10.000000,14.000000,20.000000,1618.529741,3,2.686667,2.353333,0.100000,1253.333333
11,50,26,0,24,0.520000,0.040000,10.240000,9.000000,14.099998,28.000000,1587.288114,4,2.553333,2.446667,0.140000,1373.333333
12,50,24,0,26,0.480000,0.040000,9.300000,8.000000,15.099998,23.000000,1535.184921,4,2.563333,2.293333,0.180000,1393.333333
13,50,28,0,22,0.560000,0.220000,10.280000,10.000000,16.199997,20.000000,1633.536590,4,2.743333,2.413333,0.020000,1260.000000
14,50,26,0,24,0.520000,0.180000,11.180000,11.000000,17.000000,21.000000,1550.742278,4,2.720000,2.400000,0.080000,1250.000000
15,50,32,0,18,0.640000,0.580000,11.220000,10.500000,16.099998,18.000000,1629.110881,4,2.673333,2.270000,0.080000,1300.000000
16,50,26,0,24,0.520000,-0.080000,10.740000,10.000000,16.000000,25.000000,1581.748236,5,2.693333,2.516667,0.140000,1193.333333
17,50,43,0,7,0.860000,1.220000,12.140000,11.000000,17.000000,24.000000,1787.075232,5,2.826667,2.400000,0.040000,1106.666667
18,50,31,0,19,0.620000,0.500000,12.240000,11.000000,17.099998,42.000000,1682.494481,5,2.736667,2.463333,0.080000,1253.333333
19,50,33,0,17,0.660000,0.620000,12.400000,12.000000,18.000000,22.000000,1701.976963,5,2.846667,2.496667,0.040000,953.333333
20,50,39,0,11,0.780000,1.020000,12.220000,11.000000,19.099998,25.000000,1774.272974,5,2.806667,2.396667,0.040000,1006.666667
21,50,31,0,19,0.620000,0.640000,14.500000,12.500000,24.099998,29.000000,1762.775645,6,2.873333,2.590000,0.000000,873.333333
22,50,34,0,16,0.680000,0.760000,13.660000,13.000000,20.000000,26.000000,1709.595841,6,2.860000,2.553333,0.020000,866.666667
23,50,35,0,15,0.700000,0.760000,13.700000,14.000000,19.099998,30.000000,1753.688474,6,2.860000,2.533333,0.000000,853.333333
24,50,26,0,24,0.520000,0.300000,12.980000,12.000000,19.099998,33.000000,1654.974341,6,2.820000,2.600000,0.040000,826.666667
25,50,36,0,14,0.720000,0.980000,15.960000,14.000000,25.000000,31.000000,1806.055232,6,2.913333,2.560000,0.000000,746.666667
26,50,31,0,19,0.620000,0.620000,15.520000,15.000000,22.199997,36.000000,1822.449967,7,2.900000,2.640000,0.000000,713.333333
27,50,33,0,17,0.660000,0.820000,17.220000,16.000000,24.299995,53.000000,1851.562220,7,2.893333,2.590000,0.000000,740.000000
28,50,36,0,14,0.720000,0.880000,18.480000,17.000000,29.000000,49.000000,1898.188099,7,2.886667,2.653333,0.000000,760.000000
29,50,35,0,15,0.700000,0.820000,16.920000,16.500000,25.000000,41.000000,1894.936640,7,2.906667,2.773333,0.000000,666.666667
30,50,38,0,12,0.760000,1.360000,17.440000,16.000000,25.099998,38.000000,1899.042754,7,2.913333,2.623333,0.000000,653.333333
31,50,32,0,18,0.640000,0.520000,22.680000,20.500000,34.099998,61.000000,1916.990708,8,2.926667,2.786667,0.000000,673.333333
32,50,33,0,17,0.660000,0.620000,19.580000,17.000000,32.000000,47.000000,1866.907352,8,2.940000,2.800000,0.000000,640.000000
33,50,34,0,16,0.680000,0.880000,20.960000,18.500000,34.000000,39.000000,1862.684611,8,2.940000,2.796667,0.000000,580.000000
34,50,31,0,19,0.620000,0.700000,20.660000,17.500000,34.099998,54.000000,1806.398959,8,2.933333,2.786667,0.000000,546.666667
35,50,33,0,17,0.660000,0.720000,22.400000,16.500000,42.000000,64.000000,1886.445744,8,2.933333,2.726667,0.000000,600.000000
36,50,40,0,10,0.800000,1.320000,20.800000,17.000000,33.999985,55.000000,1966.167285,9,2.953333,2.753333,0.000000,640.000000
37,50,34,0,16,0.680000,1.040000,23.000000,20.500000,39.000000,49.000000,1873.196256,9,2.946667,2.813333,0.000000,613.333333
38,50,33,0,17,0.660000,0.820000,24.160000,21.000000,44.299995,58.000000,1948.140387,9,2.960000,2.706667,0.000000,600.000000
39,50,33,0,17,0.660000,0.740000,21.780000,18.500000,39.000000,52.000000,1935.934150,9,2.953333,2.780000,0.000000,593.333333
40,50,27,0,23,0.540000,0.320000,22.820000,18.000000,38.099998,58.000000,1846.677663,9,2.953333,2.820000,0.000000,560.000000
41,50,27,0,23,0.540000,0.360000,22.420000,22.000000,35.000000,65.000000,1862.782958,10,2.940000,2.840000,0.000000,573.333333
42,50,34,0,16,0.680000,0.880000,26.540000,26.000000,41.000000,53.000000,1957.132101,10,2.986667,2.833333,0.000000,560.000000
43,50,36,0,14,0.720000,1.100000,25.320000,23.500000,41.000000,64.000000,2019.391827,10,2.960000,2.750000,0.000000,653.333333
44,50,37,0,13,0.740000,0.920000,27.000000,22.000000,48.000000,91.000000,1957.347326,10,2.960000,2.793333,0.000000,580.000000
45,50,33,0,17,0.660000,0.940000,24.100000,22.000000,42.099998,50.000000,1901.470522,10,2.980000,2.766667,0.000000,573.333333
46,50,30,0,20,0.600000,0.620000,27.340000,23.000000,42.499992,77.000000,1904.432000,11,2.946667,2.880000,0.000000,600.000000
47,50,33,0,17,0.660000,0.600000,27.360000,25.000000,41.299995,98.000000,1944.415539,11,2.980000,2.786667,0.000000,580.000000
48,50,32,0,18,0.640000,0.720000,28.000000,27.500000,45.299995,62.000000,1951.071731,11,2.953333,2.873333,0.000000,566.666667
49,50,31,0,19,0.620000,0.440000,29.000000,25.000000,48.099998,62.000000,1901.334005,11,2.960000,2.873333,0.000000,566.666667
50,50,32,0,18,0.640000,0.660000,28.680000,29.500000,48.000000,84.000000,1858.701223,11,2.960000,2.860000,0.000000,573.333333
51,50,27,0,23,0.540000,0.220000,28.560000,25.500000,48.000000,67.000000,1834.376371,12,2.953333,2.813333,0.000000,620.000000
52,50,33,0,17,0.660000,0.780000,30.080000,28.000000,50.099998,70.000000,1977.455179,12,2.953333,2.803333,0.000000,573.333333
53,50,36,0,14,0.720000,0.940000,30.340000,25.000000,50.299995,77.000000,2043.692246,12,2.986667,2.873333,0.000000,546.666667
54,50,39,0,11,0.780000,1.220000,27.240000,25.000000,50.499992,68.000000,2058.585977,12,2.973333,2.820000,0.000000,533.333333
55,50,32,0,18,0.640000,0.620000,29.480000,24.000000,51.499992,123.000000,1967.101212,12,2.933333,2.866667,0.000000,526.666667
56,50,30,0,20,0.600000,0.480000,35.760000,32.500000,63.299995,85.000000,1971.829801,13,2.966667,2.886667,0.000000,553.333333
57,50,37,0,13,0.740000,0.840000,32.100000,28.000000,53.399994,86.000000,2055.586184,13,3.000000,2.893333,0.000000,566.666667
58,50,31,0,19,0.620000,0.700000,31.640000,29.000000,56.499992,83.000000,1998.826157,13,2.973333,2.833333,0.000000,546.666667
59,50,33,0,17,0.660000,0.720000,30.660000,29.500000,56.000000,67.000000,2013.661528,13,2.980000,2.840000,0.000000,513.333333
