epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
1,50,26,0,24,0.520000,0.100000,7.980000,1559.920466,2
2,50,33,0,17,0.660000,0.460000,8.540000,1492.638028,2
3,50,32,0,18,0.640000,0.340000,8.520000,1574.606874,2
4,50,21,0,29,0.420000,-0.260000,8.240000,1449.656953,2
5,50,23,0,27,0.460000,-0.100000,8.760000,1455.348026,2
6,50,27,0,23,0.540000,0.240000,9.160000,1537.166595,3
7,50,31,0,19,0.620000,0.480000,7.760000,1521.215425,3
8,50,27,0,23,0.540000,0.180000,9.140000,1537.030929,3
9,50,27,0,23,0.540000,-0.020000,9.220000,1455.347590,3
10,50,24,0,26,0.480000,-0.040000,9.380000,1442.683048,3
11,50,25,0,25,0.500000,-0.040000,9.480000,1502.190793,4
12,50,17,0,33,0.340000,-0.420000,8.880000,1399.078694,4
13,50,25,0,25,0.500000,-0.080000,9.560000,1444.362379,4
14,50,27,0,23,0.540000,0.200000,8.680000,1469.416510,4
15,50,24,0,26,0.480000,-0.240000,8.980000,1485.754379,4
16,50,28,0,22,0.560000,0.180000,8.320000,1530.745340,5
17,50,21,0,29,0.420000,-0.240000,8.080000,1499.708717,5
18,50,24,0,26,0.480000,-0.040000,8.840000,1464.398241,5
19,50,25,0,25,0.500000,-0.100000,8.820000,1455.984054,5
20,50,25,0,25,0.500000,0.000000,8.520000,1493.874319,5
21,50,19,0,31,0.380000,-0.220000,9.260000,1416.410440,6
22,50,22,0,28,0.440000,-0.300000,9.160000,1479.647799,6
23,50,31,0,19,0.620000,0.420000,9.280000,1572.274528,6
24,50,27,0,23,0.540000,0.120000,9.060000,1505.813100,6
25,50,18,0,32,0.360000,-0.440000,9.220000,1364.253275,6
26,50,20,0,30,0.400000,-0.240000,9.700000,1435.936201,7
27,50,20,0,30,0.400000,-0.320000,7.880000,1408.635456,7
28,50,28,0,22,0.560000,0.340000,9.620000,1441.639194,7
29,50,23,0,27,0.460000,-0.220000,9.140000,1449.127692,7
30,50,28,0,22,0.560000,0.160000,10.000000,1451.197460,7
31,50,29,0,21,0.580000,0.300000,9.620000,1501.926675,8
32,50,24,0,26,0.480000,0.100000,9.840000,1460.387717,8
33,50,26,0,24,0.520000,0.040000,8.820000,1484.873555,8
34,50,30,0,20,0.600000,0.360000,9.500000,1539.224970,8
35,50,27,0,23,0.540000,0.180000,8.980000,1501.951669,8
36,50,25,0,25,0.500000,0.140000,9.920000,1448.788447,9
37,50,27,1,22,0.540000,0.460000,10.060000,1476.881469,9
38,50,30,0,20,0.600000,0.460000,9.760000,1491.890101,9
39,50,31,0,19,0.620000,0.580000,10.100000,1553.045947,9
40,50,30,0,20,0.600000,0.380000,9.620000,1499.100708,9
41,50,26,1,23,0.520000,0.180000,10.800000,1511.795589,10
42,50,29,0,21,0.580000,0.360000,10.360000,1514.189951,10
43,50,33,0,17,0.660000,0.720000,9.860000,1548.345680,10
44,50,35,0,15,0.700000,0.900000,10.200000,1614.005387,10
45,50,30,1,19,0.600000,0.460000,9.720000,1555.844753,10
46,50,28,0,22,0.560000,0.300000,10.540000,1536.508843,11
47,50,32,0,18,0.640000,0.440000,9.940000,1601.045145,11
